Project,Market Sector,Safety Score,Safety Grade,Earnings Quality Score,User Growth Score,Growth Category,Fair Value Score,Valuation Category,Market Cap to Revenue Ratio
0x,Exchanges (DEX),85.3,A,0.0,64.69035460275727,Steady Growth,37.77777777777778,Overvalued,0.0x
1inch Network,Exchanges (DEX),94.25,AAA,0.0,87.7843015808811,Exceptional Growth,24.839015151515152,Overvalued,0.0x
4EVERLAND,Infrastructure,,,0.0,,,,,
AB,Lending,86.58,AA,0.0,45.13157894736842,Steady Growth,,,
ABEL Finance,Lending,,,0.0,45.13157894736842,Steady Growth,,,
AI Companions,,67.39,BB,,,,,,
AIOZ Network,,81.7,A,,,,,,
APENFT,,62.39,B,,,,,,
API3,Infrastructure,,,0.0,84.19142449403218,Exceptional Growth,52.0,Fairly Valued,
AVNU,Exchanges (DEX),,,0.0,,,,,
AZERO ID,Infrastructure,,,0.0,,,,,
Aark,Derivative exchanges,,,0.0,56.83673469387756,Steady Growth,52.0,Fairly Valued,
Aave,Lending,90.35,AA,62.67057362728197,99.07407407407408,Exceptional Growth,70.5859375,Undervalued,0.0x
Aave GHO,Stablecoin issuers,,,0.0,,,,,
Abracadabra.money,Stablecoin issuers,,,46.56595159447018,83.48214285714286,Exceptional Growth,32.88392857142857,Overvalued,0.0x
Abstract,Blockchains (L2),,,0.0,,,,,
Acala Network,Blockchains (L2),,,0.0,51.09837462189378,Steady Growth,,,
Across,Bridges,,,0.0,42.44724025974026,Slow Growth,39.333333333333336,Overvalued,0.0x
Aerodrome Finance,Exchanges (DEX),79.36,A,60.788622351381406,88.64047173627264,Exceptional Growth,74.74567099567099,Undervalued,0.0x
Aethir,Infrastructure,,,0.0,69.83945251686559,Strong Growth,52.0,Fairly Valued,
Aevo,Derivative exchanges,,,0.0,89.37847866419295,Exceptional Growth,55.0,Fairly Valued,
Aftermath Finance,Exchanges (DEX),,,0.0,,,,,
AgentFun,,46.56,CC,,,,,,
Agora,Stablecoin issuers,,,0.0,,,,,
Ai16z,,59.62,B,,,,,,
AirSwap,Exchanges (DEX),,,26.124929979396992,59.36675219941349,Steady Growth,32.25378787878788,Overvalued,0.0x
Ajuna Network,Blockchains (L2),,,0.0,25.384615384615387,Slow Growth,,,
Akash Network,Infrastructure,82.55,A,0.0,65.37234042553192,Strong Growth,,,
Alaya AI,Infrastructure,,,0.0,,,,,
Alchemix Finance,Asset management,,,0.0,77.2238514173998,Strong Growth,52.0,Fairly Valued,
Alchemy Pay,,84.45,A,,,,,,
Aleph Zero EVM,Blockchains (L2),,,23.0080774522824,59.28015077115355,Steady Growth,14.933333333333332,Overvalued,0.0x
Algorand,Blockchains (L1),87.49,AA,38.517054285532666,57.27272727272727,Steady Growth,52.52403846153846,Fairly Valued,0.0x
