Project,Market Sector,EQS,UGS,FVS,SS,how3 Score,Growth Category,Valuation Category,SS (Rating),UGS dune,EQS dune,Static,Live,Dune Links,Symbol,UserGrowthJSON
0x,Exchanges (DEX),0.0,64.69035460275727,37.77777777777778,85.3,,Steady Growth,Overvalued,A,False,False,True,False,,,"{""name"": ""0x"", ""sector"": ""Exchanges (DEX)"", ""scores"": {""user_growth"": 64.69035460275727, ""growth_category"": ""Steady Growth""}, ""peers"": [{""name"": ""1inch Network"", ""scores"": {""user_growth"": 87.7843015808811}}, {""name"": ""Aerodrome Finance"", ""scores"": {""user_growth"": 88.64047173627264}}, {""name"": ""Curve DAO Token"", ""scores"": {""user_growth"": 80.46152922439074}}, {""name"": ""Ethena"", ""scores"": {""user_growth"": 80.8611946775879}}], ""sector_averages"": {""user_growth"": 52.77, ""count"": 91}}"
1inch Network,Exchanges (DEX),0.0,87.7843015808811,24.839015151515152,94.25,,Exceptional Growth,Overvalued,AAA,False,False,True,False,,,"{""name"": ""1inch Network"", ""sector"": ""Exchanges (DEX)"", ""scores"": {""user_growth"": 87.7843015808811, ""growth_category"": ""Exceptional Growth""}, ""peers"": [{""name"": ""0x"", ""scores"": {""user_growth"": 64.69035460275727}}, {""name"": ""Aerodrome Finance"", ""scores"": {""user_growth"": 88.64047173627264}}, {""name"": ""Curve DAO Token"", ""scores"": {""user_growth"": 80.46152922439074}}, {""name"": ""Ethena"", ""scores"": {""user_growth"": 80.8611946775879}}], ""sector_averages"": {""user_growth"": 52.77, ""count"": 91}}"
4EVERLAND,Infrastructure,0.0,,,,,,,,False,False,True,False,,,
AB,Lending,0.0,45.13157894736842,,86.58,,Steady Growth,,AA,False,False,True,False,,,
ABEL Finance,Lending,0.0,45.13157894736842,,,,Steady Growth,,,False,False,True,False,,,
AI Companions,,,,,67.39,,,,BB,False,False,True,False,,,
AIOZ Network,,,,,81.7,,,,A,False,False,True,False,,,
APENFT,,,,,62.39,,,,B,False,False,True,False,,,
API3,Infrastructure,0.0,84.19142449403218,52.0,,,Exceptional Growth,Fairly Valued,,False,False,True,False,,,
AVNU,Exchanges (DEX),0.0,,,,,,,,False,False,True,False,,,
AZERO ID,Infrastructure,0.0,,,,,,,,False,False,True,False,,,
Aark,Derivative exchanges,0.0,56.83673469387756,52.0,,,Steady Growth,Fairly Valued,,False,False,True,False,,,
Aave,Lending,62.67057362728197,99.07407407407408,70.5859375,90.35,,Exceptional Growth,Undervalued,AA,False,False,True,False,,aave,"{""name"": ""Aave"", ""sector"": ""Lending"", ""scores"": {""user_growth"": 99.07407407407408, ""growth_category"": ""Exceptional Growth""}, ""peers"": [{""name"": ""Compound"", ""scores"": {""user_growth"": 79.99756335282652}}, {""name"": ""Euler"", ""scores"": {""user_growth"": 61.46686159844056}}, {""name"": ""Maple Finance"", ""scores"": {""user_growth"": 63.62573099415204}}, {""name"": ""Morpho"", ""scores"": {""user_growth"": 81.08004385964914}}], ""sector_averages"": {""user_growth"": 53.35, ""count"": 46}}"
Aave GHO,Stablecoin issuers,0.0,,,,,,,,False,False,True,False,,,
Abracadabra.money,Stablecoin issuers,46.56595159447018,83.48214285714286,32.88392857142857,,,Exceptional Growth,Overvalued,,False,False,True,False,,,
Abstract,Blockchains (L2),0.0,,,,,,,,False,False,True,False,,,
Acala Network,Blockchains (L2),0.0,51.09837462189378,,,,Steady Growth,,,False,False,True,False,,,
Across,Bridges,0.0,42.44724025974026,39.333333333333336,,,Slow Growth,Overvalued,,False,False,True,False,,,
Aerodrome Finance,Exchanges (DEX),60.788622351381406,88.64047173627264,74.74567099567099,79.36,,Exceptional Growth,Undervalued,A,False,False,True,False,,,"{""name"": ""Aerodrome Finance"", ""sector"": ""Exchanges (DEX)"", ""scores"": {""user_growth"": 88.64047173627264, ""growth_category"": ""Exceptional Growth""}, ""peers"": [{""name"": ""0x"", ""scores"": {""user_growth"": 64.69035460275727}}, {""name"": ""1inch Network"", ""scores"": {""user_growth"": 87.7843015808811}}, {""name"": ""Curve DAO Token"", ""scores"": {""user_growth"": 80.46152922439074}}, {""name"": ""Ethena"", ""scores"": {""user_growth"": 80.8611946775879}}], ""sector_averages"": {""user_growth"": 52.77, ""count"": 91}}"
Aethir,Infrastructure,0.0,69.83945251686559,52.0,,,Strong Growth,Fairly Valued,,False,False,True,False,,,
Aevo,Derivative exchanges,0.0,89.37847866419295,55.0,,,Exceptional Growth,Fairly Valued,,False,False,True,False,,,
