Project,Market Sector,User Growth Score,Earnings Quality Score,Fair Value Score,Safety & Stability Score,Overall Score
Nexus Mutual,Insurance,100.0,100.0,100.0,,100.0
Axie Infinity,Gaming,,100.0,,,100.0
KAP Games,Gaming,,100.0,,,100.0
OpenSea,NFT marketplaces,100.0,100.0,,,100.0
deBridge DLN,Bridges,100.0,100.0,,,100.0
Polymarket,Prediction markets,100.0,100.0,,,100.0
Flashbots,Infrastructure,,100.0,,,100.0
Base,Blockchains (L2),100.0,100.0,,,100.0
XAI,Blockchains (L3),100.0,100.0,100.0,,100.0
Tron,Blockchains (L1),,100.0,100.0,,100.0
OpenChat,Social,100.0,100.0,100.0,,100.0
Alchemix Finance,Asset management,100.0,,,,100.0
Tether,Stablecoin issuers,95.65217391304348,100.0,,,97.82608695652175
Layer3,Infrastructure,,93.33333333333333,100.0,,96.66666666666666
Circle,Stablecoin issuers,100.0,90.0,,,95.0
Arbitrum One,Blockchains (L2),97.72727272727273,83.33333333333334,100.0,,93.68686868686869
Uniswap Labs,Exchanges (DEX),91.11111111111111,95.59294871794872,,,93.35202991452991
Venus,Lending,95.0,88.54166666666667,93.33333333333333,,92.29166666666667
Bitcoin,Blockchains (L1),,91.17647058823529,,,91.17647058823529
Vertex,Derivative exchanges,86.66666666666667,96.60138248847926,90.0,,91.08934971838198
Mantle,Blockchains (L2),90.9090909090909,,,,90.9090909090909
PancakeSwap,Exchanges (DEX),97.77777777777777,98.95833333333333,75.0,,90.5787037037037
Convex Finance,Asset management,100.0,100.0,71.42857142857143,,90.47619047619048
Sky,Stablecoin issuers,89.40217391304347,90.0,,,89.70108695652173
SynFutures,Derivative exchanges,100.0,93.20276497695852,75.0,,89.40092165898618
GMX,Derivative exchanges,96.66666666666667,100.0,70.0,,88.8888888888889
Internet Computer,Blockchains (L1),,85.29411764705883,92.0,,88.64705882352942
Aave,Lending,100.0,100.0,62.5,,87.5
SX,Prediction markets,75.0,100.0,,,87.5
EigenLayer,Liquid staking,87.5,,,,87.5
Lido Finance,Liquid staking,93.75,92.85714285714286,75.0,,87.20238095238096
Merkle Trade,Derivative exchanges,80.0,81.22119815668202,100.0,,87.07373271889401
Fluid,Lending,90.0,88.19444444444444,80.0,,86.06481481481482
OP Mainnet,Blockchains (L2),95.45454545454545,75.0,87.5,,85.98484848484848
Solv Protocol,Derivative exchanges,80.0,90.32258064516128,,,85.16129032258064
Jito,Liquid staking,100.0,100.0,55.0,,85.0
Gamma Strategies,Asset management,77.77777777777779,75.9090909090909,100.0,,84.56228956228956
Linea,Blockchains (L2),84.0909090909091,,,,84.0909090909091
Pharaoh,Exchanges (DEX),62.5,92.2275641025641,96.875,,83.86752136752136
Blur,NFT marketplaces,90.9090909090909,76.45833333333333,,,83.68371212121212
Ethereum,Blockchains (L1),,88.23529411764706,62.5,100.0,83.57843137254902
Solana,Blockchains (L1),,97.05882352941177,68.5,,82.77941176470588
FD121 Limited,Stablecoin issuers,82.6086956521739,,,,82.6086956521739
MetaMask,Exchanges (DEX),82.22222222222221,,,,82.22222222222221
Uniswap,Exchanges (DEX),100.0,63.97435897435898,,,81.98717948717949
Fraxtal,Blockchains (L2),81.81818181818183,,,,81.81818181818183
Usual,Stablecoin issuers,73.91304347826086,70.0,100.0,,81.30434782608695
Symbiotic,Liquid staking,81.25,,,,81.25
Hop Protocol,Bridges,83.33333333333334,60.11363636363636,100.0,,81.1489898989899
QuickSwap,Exchanges (DEX),95.55555555555556,83.33333333333334,64.375,,81.08796296296298
ApolloX,Derivative exchanges,90.0,86.40552995391704,66.25,,80.88517665130568
DeFi Saver,Infrastructure,,80.0,,,80.0
Lisk,Blockchains (L2),79.54545454545455,,,,79.54545454545455
Zcash,Blockchains (L1),,79.41176470588235,,,79.41176470588235
Injective,Blockchains (L1),,61.617647058823536,96.0,,78.80882352941177
Sonic,Blockchains (L1),,73.52941176470588,84.0,,78.76470588235294
Morpho,Lending,85.0,72.37847222222223,,,78.68923611111111
PayPal,Stablecoin issuers,78.26086956521739,,,,78.26086956521739
deBridge,Interoperability,55.0,100.0,,,77.5
