Project,Market Sector,EQS,UGS,FVS,SS,how3 Score,Growth Category,Valuation Category,SS (Rating),UGS dune,EQS dune,Static,Live,Dune Links,Symbol,EQSJSON
0x,Exchanges (DEX),0.0,64.69035460275727,37.77777777777778,85.3,,Steady Growth,Overvalued,A,,,,,,,
1inch Network,Exchanges (DEX),0.0,87.7843015808811,24.839015151515152,94.25,,Exceptional Growth,Overvalued,AAA,,,,,,,
4EVERLAND,Infrastructure,0.0,,,,,,,,,,,,,,
AB,Lending,0.0,45.13157894736842,,86.58,,Steady Growth,,AA,,,,,,,
ABEL Finance,Lending,0.0,45.13157894736842,,,,Steady Growth,,,,,,,,,
AI Companions,,,,,67.39,,,,BB,,,,,,,
AIOZ Network,,,,,81.7,,,,A,,,,,,,
APENFT,,,,,62.39,,,,B,,,,,,,
API3,Infrastructure,0.0,84.19142449403218,52.0,,,Exceptional Growth,Fairly Valued,,,,,,,,
AVNU,Exchanges (DEX),0.0,,,,,,,,,,,,,,
AZERO ID,Infrastructure,0.0,,,,,,,,,,,,,,
Aark,Derivative exchanges,0.0,56.83673469387756,52.0,,,Steady Growth,Fairly Valued,,,,,,,,
Aave,Lending,62.67057362728197,99.07407407407408,70.5859375,90.35,,Exceptional Growth,Undervalued,AA,,,,,,aave,"{""name"": ""Aave"", ""sector"": ""Lending"", ""scores"": {""earnings_quality"": 62.67057362728197}, ""peers"": [{""name"": ""Compound"", ""scores"": {""earnings_quality"": 32.43084976560476}}, {""name"": ""Maple Finance"", ""scores"": {""earnings_quality"": 54.32192715059285}}, {""name"": ""Vechain"", ""scores"": {""earnings_quality"": 62.67057362728197}}, {""name"": ""Venus USDT"", ""scores"": {""earnings_quality"": 58.729369995647765}}], ""sector_averages"": {""earnings_quality"": 8.52, ""count"": 62}}"
Aave GHO,Stablecoin issuers,0.0,,,,,,,,,,,,,,
Abracadabra.money,Stablecoin issuers,46.56595159447018,83.48214285714286,32.88392857142857,,,Exceptional Growth,Overvalued,,,,,,,,
Abstract,Blockchains (L2),0.0,,,,,,,,,,,,,,
Acala Network,Blockchains (L2),0.0,51.09837462189378,,,,Steady Growth,,,,,,,,,
Across,Bridges,0.0,42.44724025974026,39.333333333333336,,,Slow Growth,Overvalued,,,,,,,,
Aerodrome Finance,Exchanges (DEX),60.788622351381406,88.64047173627264,74.74567099567099,79.36,,Exceptional Growth,Undervalued,A,,,,,,,"{""name"": ""Aerodrome Finance"", ""sector"": ""Exchanges (DEX)"", ""scores"": {""earnings_quality"": 60.788622351381406}, ""peers"": [{""name"": ""Curve DAO Token"", ""scores"": {""earnings_quality"": 56.84522301549867}}, {""name"": ""Ethena"", ""scores"": {""earnings_quality"": 57.15610750876476}}, {""name"": ""PancakeSwap"", ""scores"": {""earnings_quality"": 20.610528563344047}}, {""name"": ""Sushiswap"", ""scores"": {""earnings_quality"": 47.83216668659891}}], ""sector_averages"": {""earnings_quality"": 8.69, ""count"": 136}}"
Aethir,Infrastructure,0.0,69.83945251686559,52.0,,,Strong Growth,Fairly Valued,,,,,,,,
Aevo,Derivative exchanges,0.0,89.37847866419295,55.0,,,Exceptional Growth,Fairly Valued,,,,,,,,
