Project,Market Sector,Valuation Category
Tether,Stablecoin issuers,
Tron,Blockchains (L1),Undervalued
Circle,Stablecoin issuers,
Uniswap,Exchanges (DEX),Fairly Valued
Lido Finance,Liquid staking,Undervalued
Aave,Lending,Undervalued
PancakeSwap,Exchanges (DEX),Undervalued
Jito,Liquid staking,Fairly Valued
Flashbots,Infrastructure,
Solana,Blockchains (L1),Undervalued
Ethereum,Blockchains (L1),Fairly Valued
Sky,Stablecoin issuers,Fairly Valued
BNB Chain,Blockchains (L1),Fairly Valued
Ethena,Stablecoin issuers,Fairly Valued
Bitcoin,Blockchains (L1),Fairly Valued
Aerodrome,Exchanges (DEX),Undervalued
Morpho,Lending,Undervalued
Fluid,Lending,Fairly Valued
Venus,Lending,Undervalued
Base,Blockchains (L2),
GMX,Derivative exchanges,Undervalued
Uniswap Labs,Exchanges (DEX),
Convex Finance,Asset management,Fairly Valued
Curve,Exchanges (DEX),Fairly Valued
Compound,Lending,Fairly Valued
Usual,Stablecoin issuers,Undervalued
Thena,Exchanges (DEX),Undervalued
LFJ,Exchanges (DEX),Fairly Valued
Euler,Lending,Fairly Valued
Maple Finance,Lending,Fairly Valued
Pharaoh,Exchanges (DEX),Undervalued
SynFutures,Derivative exchanges,Undervalued
Arbitrum One,Blockchains (L2),Undervalued
Internet Computer,Blockchains (L1),Undervalued
QuickSwap,Exchanges (DEX),Undervalued
Solv Protocol,Derivative exchanges,Fairly Valued
OpenSea,NFT marketplaces,
OP Mainnet,Blockchains (L2),Fairly Valued
ParaSwap,Exchanges (DEX),Undervalued
Velodrome,Exchanges (DEX),Undervalued
BENQI Liquid Staking,Liquid staking,
SushiSwap,Exchanges (DEX),Fairly Valued
Vertex,Derivative exchanges,Undervalued
StakeWise,Liquid staking,Undervalued
Moonwell,Lending,Fairly Valued
Tokenlon,Exchanges (DEX),Fairly Valued
Balancer,Exchanges (DEX),Fairly Valued
TON,Blockchains (L1),Fairly Valued
Immutable,Blockchains (L2),Undervalued
ApolloX,Derivative exchanges,Fairly Valued
Aura Finance,Asset management,Undervalued
DeFi Saver,Infrastructure,
Frax Ether,Liquid staking,
Camelot,Exchanges (DEX),Fairly Valued
Avalanche,Blockchains (L1),Fairly Valued
Layer3,Infrastructure,Undervalued
Merkle Trade,Derivative exchanges,Undervalued
KyberSwap,Exchanges (DEX),Fairly Valued
Polygon,Blockchains (L1),Fairly Valued
BENQI,Lending,Fairly Valued
deBridge DLN,Bridges,
StakeStone,Liquid staking,
NEAR Protocol,Blockchains (L1),Fairly Valued
Houdini Swap,Exchanges (DEX),Fairly Valued
Katana,Exchanges (DEX),
Origin Protocol,Stablecoin issuers,Fairly Valued
DODO,Exchanges (DEX),Fairly Valued
HMX,Derivative exchanges,Undervalued
Cardano,Blockchains (L1),Fairly Valued
BMX,Derivative exchanges,Undervalued
Pendle,Derivative exchanges,Fairly Valued
Sonic,Blockchains (L1),Undervalued
Manifold.xyz,NFT marketplaces,
Allbridge Core,Bridges,
Helium,Infrastructure,Fairly Valued
Tokemak,Asset management,Fairly Valued
BendDAO,Lending,Undervalued
Gamma Strategies,Asset management,Undervalued
Cronos,Blockchains (L1),Undervalued
Synthetix,Derivative exchanges,Fairly Valued
ZeroLend,Lending,Fairly Valued
Tornado Cash,Infrastructure,Undervalued
Injective,Blockchains (L1),Undervalued
SyncSwap,Exchanges (DEX),
Stader,Liquid staking,Overvalued
Gearbox,Lending,Fairly Valued
Blur,NFT marketplaces,Undervalued
Hegic,Derivative exchanges,Fairly Valued
Dogecoin,Blockchains (L1),Overvalued
Nexus Mutual,Insurance,
Aptos,Blockchains (L1),Fairly Valued
Liquity,Stablecoin issuers,Fairly Valued
Thruster,Exchanges (DEX),Fairly Valued
Filecoin,Blockchains (L1),Overvalued
Bancor,Exchanges (DEX),Fairly Valued
Goldfinch,Lending,Overvalued
MUX,Derivative exchanges,Fairly Valued
Biswap,Exchanges (DEX),Fairly Valued
Kwenta,Derivative exchanges,Fairly Valued
Thetanuts,Asset management,
Seamless Protocol,Lending,Fairly Valued
Gravity Alpha Mainnet,Blockchains (L2),Undervalued
Ribbon Finance,Asset management,Overvalued
Ronin,Blockchains (L1),Fairly Valued
zkSync Era,Blockchains (L2),Overvalued
Blast,Blockchains (L2),Fairly Valued
Livepeer,Infrastructure,Fairly Valued
Celo,Blockchains (L1),Undervalued
Pangolin,Exchanges (DEX),Overvalued
MultiversX,Blockchains (L1),Fairly Valued
Litecoin,Blockchains (L1),Overvalued
Ramses Exchange,Exchanges (DEX),Fairly Valued
deBridge,Interoperability,
Polkadot,Blockchains (L1),Overvalued
Stargate,Bridges,Overvalued
Stellar,Blockchains (L1),Overvalued
Cosmos Hub,Blockchains (L1),Overvalued
Integral,Exchanges (DEX),Undervalued
The Graph,Infrastructure,Fairly Valued
Index Cooperative,Asset management,Fairly Valued
Synapse,Bridges,Fairly Valued
Algorand,Blockchains (L1),Fairly Valued
Ink,Blockchains (L2),
Abracadabra.money,Stablecoin issuers,Overvalued
Maverick Protocol,Exchanges (DEX),Overvalued
Manta,Blockchains (L2),Fairly Valued
ApeSwap,Exchanges (DEX),Undervalued
Beets,Exchanges (DEX),Fairly Valued
Zcash,Blockchains (L1),Undervalued
Holdstation,Derivative exchanges,Fairly Valued
Starknet,Blockchains (L2),Overvalued
Clipper,Exchanges (DEX),Fairly Valued
Rarible,NFT marketplaces,Fairly Valued
Chainlink,Infrastructure,Overvalued
Radiant Capital,Lending,Overvalued
Zerion,Infrastructure,Fairly Valued
NFTX,NFT marketplaces,Fairly Valued
Angle,Stablecoin issuers,Fairly Valued
Hop Protocol,Bridges,Undervalued
Perpetual Protocol,Derivative exchanges,Overvalued
Fantom,Blockchains (L1),Overvalued
Foundation,NFT marketplaces,
Equalizer Exchange,Exchanges (DEX),Undervalued
SpookySwap,Exchanges (DEX),Fairly Valued
X2Y2,NFT marketplaces,Fairly Valued
Gnosis,Blockchains (L1),Overvalued
OpenChat,Social,Undervalued
IPOR Protocol,Derivative exchanges,Overvalued
Verse,Exchanges (DEX),Overvalued
Level Finance,Derivative exchanges,Fairly Valued
Unichain,Blockchains (L2),
friend.tech,Social,Overvalued
Kusama,Blockchains (L1),Fairly Valued
Tezos,Blockchains (L1),Overvalued
1inch,Exchanges (DEX),Overvalued
Axelar Network,Interoperability,
Reflexer,Stablecoin issuers,Fairly Valued
Mean Finance,Exchanges (DEX),
Sudoswap,NFT marketplaces,Overvalued
Kleros,Infrastructure,Fairly Valued
AirSwap,Exchanges (DEX),Overvalued
Shoebill Finance,Lending,
Aperture,Exchanges (DEX),
Mina Protocol,Blockchains (L1),Overvalued
Zyberswap,Exchanges (DEX),Fairly Valued
Mummy Finance,Derivative exchanges,
Wombat Exchange,Exchanges (DEX),Overvalued
Aleph Zero EVM,Blockchains (L2),Overvalued
Conflux Core Space,Blockchains (L1),Overvalued
Everclear,Bridges,Overvalued
Zora,NFT marketplaces,
Cap,Derivative exchanges,Fairly Valued
SolidLizard,Exchanges (DEX),Overvalued
Thales,Derivative exchanges,Overvalued
Viction,Blockchains (L1),Overvalued
Sound.xyz,NFT marketplaces,
Cryptex,Asset management,Overvalued
Polynomial Protocol,Derivative exchanges,
XAI,Blockchains (L3),Fairly Valued
DFX Finance,Exchanges (DEX),Overvalued
Volmex,Derivative exchanges,
Deri Protocol,Derivative exchanges,Overvalued
Karura,Blockchains (L1),Overvalued
Pika Protocol,Derivative exchanges,Overvalued
dYdX,Derivative exchanges,Overvalued
