Project,Market Sector,User Growth Score,Growth Category
Tether,Stablecoin issuers,,
Tron,Blockchains (L1),88.24044011544011,Exceptional Growth
Circle,Stablecoin issuers,,
Uniswap,Exchanges (DEX),98.44734890619209,Exceptional Growth
Lido Finance,Liquid staking,79.24632352941175,Strong Growth
Aave,Lending,99.07407407407409,Exceptional Growth
PancakeSwap,Exchanges (DEX),99.14772727272728,Exceptional Growth
Jito,Liquid staking,92.94117647058823,Exceptional Growth
Flashbots,Infrastructure,50.83333333333333,Steady Growth
Solana,Blockchains (L1),96.22273151684917,Exceptional Growth
Ethereum,Blockchains (L1),80.74585137085137,Exceptional Growth
Sky,Stablecoin issuers,63.81696428571428,Steady Growth
BNB Chain,Blockchains (L1),94.40882034632034,Exceptional Growth
Ethena,Stablecoin issuers,85.625,Exceptional Growth
Bitcoin,Blockchains (L1),73.61458333333334,Strong Growth
Aerodrome,Exchanges (DEX),88.64047173627264,Exceptional Growth
Morpho,Lending,81.08004385964914,Exceptional Growth
Fluid,Lending,74.63084795321639,Strong Growth
Venus,Lending,86.17202729044836,Exceptional Growth
Base,Blockchains (L2),100.00000000000001,Exceptional Growth
GMX,Derivative exchanges,95.64567206192824,Exceptional Growth
Uniswap Labs,Exchanges (DEX),90.9090909090909,Exceptional Growth
Convex Finance,Asset management,94.95356793743892,Exceptional Growth
Curve,Exchanges (DEX),80.46152922439074,Exceptional Growth
Compound,Lending,79.99756335282652,Strong Growth
Usual,Stablecoin issuers,84.4047619047619,Exceptional Growth
Thena,Exchanges (DEX),80.8611946775879,Exceptional Growth
LFJ,Exchanges (DEX),76.7520519432366,Strong Growth
Euler,Lending,61.46686159844056,Steady Growth
Maple Finance,Lending,63.62573099415204,Steady Growth
Pharaoh,Exchanges (DEX),57.98437658003843,Steady Growth
SynFutures,Derivative exchanges,81.21869202226347,Exceptional Growth
Arbitrum One,Blockchains (L2),96.30346290771793,Exceptional Growth
Internet Computer,Blockchains (L1),74.21487603305783,Strong Growth
QuickSwap,Exchanges (DEX),80.12711935820948,Exceptional Growth
Solv Protocol,Derivative exchanges,86.00297485765468,Exceptional Growth
OpenSea,NFT marketplaces,100.0,Exceptional Growth
OP Mainnet,Blockchains (L2),89.78010324775966,Exceptional Growth
ParaSwap,Exchanges (DEX),44.934539007988676,Slow Growth
Velodrome,Exchanges (DEX),71.53864668655409,Strong Growth
BENQI Liquid Staking,Liquid staking,57.5,Steady Growth
SushiSwap,Exchanges (DEX),88.87737216435771,Exceptional Growth
Vertex,Derivative exchanges,76.62141737572772,Strong Growth
StakeWise,Liquid staking,27.604166666666664,Slow Growth
Moonwell,Lending,75.56390977443608,Strong Growth
Tokenlon,Exchanges (DEX),41.16273974449726,Slow Growth
Balancer,Exchanges (DEX),72.5522044696127,Strong Growth
