Project,Market Sector,User Growth Score,Growth Category,Explanation
Tether,Stablecoin issuers,,,"Project 'Tether' in the 'Stablecoin issuers' sector has an overall User Growth Score of nan, categorized as 'None'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.20)
  - Transaction Volume: nan (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: nan (Weight: 0.20)"
Tron,Blockchains (L1),88.24044011544011,Exceptional Growth,"Project 'Tron' in the 'Blockchains (L1)' sector has an overall User Growth Score of 88.24, categorized as 'Exceptional Growth'.
The score is based on the following weighted metrics:
  - Active Users: 92.59 (Weight: 0.30)
  - Transaction Volume: 86.36 (Weight: 0.30)
  - Transaction Count: 85.71 (Weight: 0.25)
  - User Growth: 87.50 (Weight: 0.15)"
Circle,Stablecoin issuers,,,"Project 'Circle' in the 'Stablecoin issuers' sector has an overall User Growth Score of nan, categorized as 'None'.
The score is based on the following weighted metrics:
  - Active Users: nan (Weight: 0.20)
  - Transaction Volume: nan (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: nan (Weight: 0.20)"
Uniswap,Exchanges (DEX),98.44734890619209,Exceptional Growth,"Project 'Uniswap' in the 'Exchanges (DEX)' sector has an overall User Growth Score of 98.45, categorized as 'Exceptional Growth'.
The score is based on the following weighted metrics:
  - Active Users: 100.00 (Weight: 0.30)
  - Transaction Volume: 97.70 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 96.77 (Weight: 0.10)"
Lido Finance,Liquid staking,79.24632352941175,Strong Growth,"Project 'Lido Finance' in the 'Liquid staking' sector has an overall User Growth Score of 79.25, categorized as 'Strong Growth'.
The score is based on the following weighted metrics:
  - Active Users: 93.33 (Weight: 0.30)
  - Transaction Volume: 88.24 (Weight: 0.20)
  - User Growth: 59.17 (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.20)"
Aave,Lending,99.07407407407409,Exceptional Growth,"Project 'Aave' in the 'Lending' sector has an overall User Growth Score of 99.07, categorized as 'Exceptional Growth'.
The score is based on the following weighted metrics:
  - Active Users: 100.00 (Weight: 0.40)
  - Transaction Volume: 100.00 (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 92.59 (Weight: 0.10)"
PancakeSwap,Exchanges (DEX),99.14772727272728,Exceptional Growth,"Project 'PancakeSwap' in the 'Exchanges (DEX)' sector has an overall User Growth Score of 99.15, categorized as 'Exceptional Growth'.
The score is based on the following weighted metrics:
  - Active Users: 97.73 (Weight: 0.30)
  - Transaction Volume: 100.00 (Weight: 0.40)
  - Transaction Count: nan (Weight: 0.20)
  - User Growth: 100.00 (Weight: 0.10)"
Jito,Liquid staking,92.94117647058823,Exceptional Growth,"Project 'Jito' in the 'Liquid staking' sector has an overall User Growth Score of 92.94, categorized as 'Exceptional Growth'.
The score is based on the following weighted metrics:
  - Active Users: 100.00 (Weight: 0.30)
  - Transaction Volume: 82.35 (Weight: 0.20)
  - User Growth: nan (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.20)"
Flashbots,Infrastructure,50.83333333333333,Steady Growth,"Project 'Flashbots' in the 'Infrastructure' sector has an overall User Growth Score of 50.83, categorized as 'Steady Growth'.
The score is based on the following weighted metrics:
  - Active Users: 50.83 (Weight: 0.30)
  - Transaction Volume: nan (Weight: 0.30)
  - Transaction Count: nan (Weight: 0.30)
  - User Growth: nan (Weight: 0.10)"
Solana,Blockchains (L1),96.22273151684917,Exceptional Growth,"Project 'Solana' in the 'Blockchains (L1)' sector has an overall User Growth Score of 96.22, categorized as 'Exceptional Growth'.
The score is based on the following weighted metrics:
  - Active Users: 96.30 (Weight: 0.30)
  - Transaction Volume: 96.97 (Weight: 0.30)
  - Transaction Count: 95.24 (Weight: 0.25)
  - User Growth: nan (Weight: 0.15)"
